"Estimate","Std. Error","df","t value","Pr(>|t|)","predictor"
"(Intercept)",-1.230536300784,0.106688515654206,57.4483752152424,-11.5339152788699,1.38767514506966e-16,"school.close.red"
"school.close.red2",0.054008759156435,0.0944870335442314,517.578250036407,0.57159969077823,0.567841341345352,"school.close.red"
"school.close.red3",-0.211454106305874,0.0695179143909835,497.657721842348,-3.04172108956853,0.00247643439839096,"school.close.red"
"time",-0.0631797380750864,0.00550343670137466,30.5987044825828,-11.4800517391806,1.28230313753466e-12,"school.close.red"
"(Intercept)1",-1.29975610761981,0.0984035983738856,35.7681931143291,-13.2084205161012,2.5345376205901e-15,"work.close.red"
"work.close.red2",-0.156165524028023,0.0571658348689812,399.519931790009,-2.73179818655566,0.00657830528738752,"work.close.red"
"work.close.red3",-0.21573840814602,0.053792014453772,509.475989048653,-4.01060288105444,6.96346696821661e-05,"work.close.red"
"time1",-0.05936941752264,0.00585742638967098,30.0941253167427,-10.1357513646834,3.22517163740343e-11,"work.close.red"
"(Intercept)2",-1.30230597160072,0.100307941420135,40.9519602946382,-12.9830794368123,4.18618443773179e-16,"cancel.pubevent.red"
"cancel.pubevent.red2",-0.163538880108187,0.0564403208408729,477.439873917804,-2.8975540477395,0.00393373186462623,"cancel.pubevent.red"
"time2",-0.0590699108168986,0.00539309091500315,28.8578748143137,-10.9528861552418,8.55549295338938e-12,"cancel.pubevent.red"
"(Intercept)3",-1.30294903827141,0.0989889342646512,37.6811142823912,-13.1625726446142,1.14339344430649e-15,"restric.gather.red"
"restric.gather.red1",-0.0353072480110274,0.0839515035899355,524.739493053843,-0.420567190594787,0.674243332676194,"restric.gather.red"
"restric.gather.red3",-0.14744244039388,0.0882058801911506,500.481695558522,-1.67157155593662,0.0952339088525012,"restric.gather.red"
"restric.gather.red4",-0.222364481416163,0.0601634403802858,522.223255247131,-3.69600674447179,0.0002421529578332,"restric.gather.red"
"time3",-0.057898690571844,0.00550761360027744,29.9037884899977,-10.512482315195,1.46483797222076e-11,"restric.gather.red"
"(Intercept)4",-1.36699098774846,0.0977687804501157,31.3404907133223,-13.9818762334459,5.13435148061997e-15,"stay.home.red"
"stay.home.red1",-0.150050250416619,0.0465187776273748,533.691032379628,-3.22558455036273,0.00133416935747735,"stay.home.red"
"time4",-0.0591394534146721,0.00563346429755188,29.0646185366938,-10.4978837693836,2.11149937938953e-11,"stay.home.red"
"(Intercept)5",-1.37138979292933,0.0991623573567612,32.3743192795664,-13.8297417435874,3.87952595404351e-15,"restric.move.red"
"restric.move.red2",-0.103168628635983,0.0439101512454598,532.547487725968,-2.34953935957237,0.0191609065103116,"restric.move.red"
"time5",-0.0597125410331252,0.00574052324370995,28.7564049280773,-10.4019334994513,2.95156717378965e-11,"restric.move.red"
"(Intercept)6",-0.882545951924788,0.207978038714086,170.906808675091,-4.24345742166582,3.60175412754752e-05,"inter.travel"
"inter.travel1",-0.510462564863612,0.237674798039516,487.964952531844,-2.14773534709701,0.0322265796674789,"inter.travel"
"inter.travel2",-0.428417093770296,0.190870766727215,479.87464217898,-2.24454012060722,0.0252525466759721,"inter.travel"
"inter.travel3",-0.470186428711268,0.19148661662043,441.955787299767,-2.45545321657275,0.0144548075509253,"inter.travel"
"inter.travel4",-0.710362280174886,0.194700369674756,440.040206349928,-3.64848963235938,0.000295413787554297,"inter.travel"
"time6",-0.0573859271201797,0.00548242082950115,29.0169119926801,-10.4672605231951,2.30290215602232e-11,"inter.travel"
"(Intercept)7",-1.38791283443682,0.0998428666301045,32.9673754159264,-13.9009714091917,2.42373111359679e-15,"test.policy.red"
"test.policy.red2",-0.252251990230186,0.081711680752521,385.836617698389,-3.08709829374552,0.00216723614153617,"test.policy.red"
"test.policy.red1",-0.085672411650316,0.0687695874581309,411.796757428103,-1.24578923353984,0.213550100206636,"test.policy.red"
"time7",-0.0542356115465359,0.00572047170265453,36.5583386531867,-9.48096841758142,2.16796677153459e-11,"test.policy.red"
"(Intercept)8",-1.80615419779111,0.252054769189722,128.554319392793,-7.16572117876338,5.36602925991161e-11,"contact.tracing"
"contact.tracing1",0.591454393313229,0.251569670714294,210.954307501617,2.35105603801079,0.0196423969390143,"contact.tracing"
"contact.tracing2",0.293959742961243,0.236263695137708,187.365946106109,1.24420191934231,0.214979476033557,"contact.tracing"
"time8",-0.0601894510545736,0.00572067957346505,29.1978950544968,-10.5213812942361,1.9002293724328e-11,"contact.tracing"
"(Intercept)9",-1.35464054159604,0.0929278818247623,29.5004410261834,-14.5773315284484,5.10737741758399e-15,"wear.mask"
"wear.mask1",-0.375172747731581,0.0839799788236512,516.570289530317,-4.46740702947071,9.73382693963637e-06,"wear.mask"
"wear.mask2",-0.309748009479517,0.0820536996068948,459.270875953724,-3.7749426407763,0.00018103490484114,"wear.mask"
"wear.mask3",-0.218285365021666,0.086140582003754,340.973018528583,-2.53405955641387,0.0117220483754977,"wear.mask"
"wear.mask4",-0.123217518026877,0.0723466189603147,417.043146425308,-1.70315516879189,0.0892840679496778,"wear.mask"
"time9",-0.0509364803851051,0.0060797073977139,42.7627030276304,-8.37811378953176,1.45174027103202e-10,"wear.mask"
"(Intercept)10",-0.477092820962475,0.341241252872501,34.1447164713428,-1.39811003782926,0.171096566667075,"median_age"
"median_age",-0.030261971115181,0.0104590542402645,30.8823568635439,-2.89337548309872,0.00692959510206656,"median_age"
"time10",-0.060290419496199,0.00564461793071556,28.7260921660195,-10.6810452427833,1.62426234985063e-11,"median_age"
"(Intercept)11",-0.244747644324907,0.404953863022749,33.1849277975461,-0.604384021671026,0.549698546978374,"uhc_index"
"uhc_index",-0.0174186919772724,0.00582267604946025,30.926731003837,-2.99152689061021,0.00541074620132601,"uhc_index"
"time11",-0.0603732225448685,0.0056390737150118,28.8157821321664,-10.7062304193947,1.48162853692454e-11,"uhc_index"
